idLocalidad,nombreLocalidad,latitudLocalidad,longitudLocalidad,idDepartamento,GeomLocalidad,GeomTLocalidad,geometry
1624,VILLA CAÐAS,"-34,01657194","-61,59990722",295,0x00000000010C634481C2C9CC4EC0672A82071F0241C0,POINT (-61.59990722 -34.01657194),POINT (-61.59990722 -34.01657194)
1625,AMENABAR,"-34,13324111","-62,41662528",295,0x00000000010C28AB12FA53354FC064F7700B0E1141C0,POINT (-62.41662527 -34.13324111),POINT (-62.41662527 -34.13324111)
1626,RUFINO,"-34,26658194","-62,69997389",295,0x00000000010CBE537DBE98594FC08B00655B1F2241C0,POINT (-62.69997388 -34.26658194),POINT (-62.69997388 -34.26658194)
1627,CAÑADA DEL UCLE,"-33,41651139","-61,63323333",295,0x00000000010C298B2DCA0DD14EC084C1B13E50B540C0,POINT (-61.63323333 -33.41651138),POINT (-61.63323333 -33.41651138)
1628,RAFAELA,"-31,26634222","-61,48323694",219,0x00000000010C72C242B5DABD4EC0AC71F4002F443FC0,POINT (-61.48323694 -31.26634222),POINT (-61.48323694 -31.26634222)
1629,GÍDEKEN,"-33,38319778","-61,84991472",285,0x00000000010CFE646B01CAEC4EC06B06E19F0CB140C0,POINT (-61.84991472 -33.38319777),POINT (-61.84991472 -33.38319777)
1630,PUEBLO ESTHER,"-33,09983667","-60,5759525",282,0x00000000010C54C6BFCFB8494EC029D29A72C78C40C0,POINT (-60.5759525 -33.09983666),POINT (-60.5759525 -33.09983666)
1631,ESPERANZA,"-31,44969972","-60,94986361",215,0x00000000010C254E7A2195794EC09D6B56851F733FC0,POINT (-60.94986361 -31.44969972),POINT (-60.94986361 -31.44969972)
1632,SAN CARLOS CENTRO,"-31,71637889","-61,09988722",215,0x00000000010C1C98BB1AC98C4EC02625359B64B73FC0,POINT (-61.09988722 -31.71637888),POINT (-61.09988722 -31.71637888)
1633,MARGARITA,"-29,7162325","-60,24982694",143,0x00000000010CD97A4454FA1F4EC013D55B035BB73DC0,POINT (-60.24982694 -29.7162325),POINT (-60.24982694 -29.7162325)
1634,TORTUGAS,"-32,74979778","-61,81658861",267,0x00000000010C381EBFF985E84EC0C261925FF95F40C0,POINT (-61.81658861 -32.74979777),POINT (-61.81658861 -32.74979777)
1635,MATILDE,"-31,78306444","-60,999875",215,0x00000000010C448B6CE7FB7F4EC0E77540E976C83FC0,POINT (-60.999875 -31.78306444),POINT (-60.999875 -31.78306444)
1636,TACO POZO,"-25,61589333","-63,28334944",38,0x00000000010CE91161CB44A44FC0AE2C6E2FAB9D39C0,POINT (-63.28334944 -25.61589333),POINT (-63.28334944 -25.61589333)
1637,VILLA RIO BERMEJITO,"-25,64477944","-60,26483972",29,0x00000000010C780A9844E6214EC0E6EEEF4310A539C0,POINT (-60.26483972 -25.64477944),POINT (-60.26483972 -25.64477944)
1638,JUAN JOSE CASTELLI,"-25,94925833","-60,63318222",29,0x00000000010C83A76F1D0C514EC03ACE0A9802F339C0,POINT (-60.63318222 -25.94925833),POINT (-60.63318222 -25.94925833)
1639,PAMPA DEL INDIO,"-26,04925833","-59,91648278",52,0x00000000010CAE3FB24E4FF54DC0D467A4319C0C3AC0,POINT (-59.91648277 -26.04925833),POINT (-59.91648277 -26.04925833)
1640,PRESIDENCIA ROCA,"-26,14927694","-59,58312444",52,0x00000000010C2FA657D2A3CA4DC0D258770337263AC0,POINT (-59.58312444 -26.14927694),POINT (-59.58312444 -26.14927694)
1641,TRES ISLETAS,"-26,34929111","-60,43317722",62,0x00000000010CD7A2E45972374EC0C93B66246B593AC0,POINT (-60.43317722 -26.34929111),POINT (-60.43317722 -26.34929111)
1642,LOS FRENTONES,"-26,415965","-61,39989583",38,0x00000000010C11D45BC92FB34EC0D847A7AE7C6A3AC0,POINT (-61.39989583 -26.415965),POINT (-61.39989583 -26.415965)
